contragent~doc~ДатаДокумента~ДатаПроводки~ПодразделениеОрганизации~dog~nomen~Количество~ЕдиницаИзмерения~СтавкаНДС~СуммаНДС~СчетГлавнойКнигиДт~СчетДтНаименование~sum_dt_0~sum_dt_1~score~name~sum_kt_0~sum_kt_1~sum_ob_dt~sum_ob_kt~saldo~~~
Украинский завод сверхкрупногабаритных шин ОАО~Акт об оказании производственных услуг 00000004955 от 31.05.2020 12:12:22~31.05.2020 12:12:22~~Дніпропетровські РЕМ~010009121 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~49,26~361~Расчеты с отечественными покупателями~~~703~Доход от реализации работ и услуг~308~12,42~295,58~~-12,42~~~
Южторгпоставка~~~~~~~~~~~~~~~~~~~~~10 929,98~~~
Южторгпоставка~Платежное поручение входящее 00000004708 от 07.05.2020 15:59:19~07.05.2020 00:00:00~~Дніпропетровські РЕМ~010000911 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~1 736,11~311~Текущие счета в национальной валюте~10 416,66~~361~Расчеты с отечественными покупателями~~~~10 416,66~~~~
Южторгпоставка~Акт об оказании производственных услуг 00000005009 от 31.05.2020 12:14:05~31.05.2020 12:14:05~~Дніпропетровські РЕМ~010000911 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~1 821,66~361~Расчеты с отечественными покупателями~~10 929,98~703~Доход от реализации работ и услуг~~~10 929,98~~10 929,98~~~
Запорожский Э.В.ФОП~~~~~~~~~~~~~~~~~~~~~~~~
Запорожский Э.В.ФОП~Платежное поручение входящее 00000005067 от 15.05.2020 15:12:19~15.05.2020 00:00:00~~Вільногірські РЕМ~030000308 перетоки ~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~14,7~311~Текущие счета в национальной валюте~88,18~~361~Расчеты с отечественными покупателями~~~~88,18~~~~
Днепропетровский облавтодор~~~~~~~~~~~~~~~~~~~~~-863,71~~~
Днепропетровский облавтодор~Акт об оказании производственных услуг 00000005092 от 31.05.2020 12:15:56~31.05.2020 12:15:56~~Дніпропетровські РЕМ~010100019 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~36,28~361~Расчеты с отечественными покупателями~~~703~Доход от реализации работ и услуг~1 081,41~863,71~217,7~~-863,71~~~
ЛІБЕЦЬКИЙ ОЛЕКСІЙ ВІТАЛІЙОВИЧ~~~~~~~~~~~~~~~~~~~~~102,04~~~
ЛІБЕЦЬКИЙ ОЛЕКСІЙ ВІТАЛІЙОВИЧ~Платежное поручение входящее 00000005157 от 18.05.2020 15:42:59~18.05.2020 00:00:00~~Дніпропетровські РЕМ~010000572 перетоки ~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~18,01~311~Текущие счета в национальной валюте~95,43~~361~Расчеты с отечественными покупателями~~12,62~~108,05~~~~
ЛІБЕЦЬКИЙ ОЛЕКСІЙ ВІТАЛІЙОВИЧ~Акт об оказании производственных услуг 00000005045 от 31.05.2020 12:15:05~31.05.2020 12:15:05~~Дніпропетровські РЕМ~010000572 перетоки ~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~19,11~361~Расчеты с отечественными покупателями~~102,04~703~Доход от реализации работ и услуг~12,62~~114,66~~102,04~~~
Дуч В.Н.~~~~~~~~~~~~~~~~~~~~~1 335,35~~~
Дуч В.Н.~Платежное поручение входящее 00000004639 от 06.05.2020 15:58:15~06.05.2020 00:00:00~~Дільниця Інгулецька КрРЕМ~080000032 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~209,92~311~Текущие счета в национальной валюте~1 259,53~~361~Расчеты с отечественными покупателями~~~~1 259,53~~~~
Дуч В.Н.~Акт об оказании производственных услуг 00000004806 от 31.05.2020 12:07:35~31.05.2020 12:07:35~~Дільниця Інгулецька КрРЕМ~080000032 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~222,56~361~Расчеты с отечественными покупателями~~1 335,35~703~Доход от реализации работ и услуг~~~1 335,35~~1 335,35~~~
Величко Дмитрий Васильевич~~~~~~~~~~~~~~~~~~~~~1 705,07~~~
Величко Дмитрий Васильевич~Платежное поручение входящее 00000004920 от 13.05.2020 15:31:39~13.05.2020 00:00:00~~Жовтоводські РЕМ~020000027 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~247,66~311~Текущие счета в национальной валюте~1 485,94~~361~Расчеты с отечественными покупателями~~~~1 485,94~~~~
Величко Дмитрий Васильевич~Акт об оказании производственных услуг 00000004874 от 31.05.2020 12:10:10~31.05.2020 12:10:10~~Жовтоводські РЕМ~020000027 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~284,18~361~Расчеты с отечественными покупателями~~1 705,07~703~Доход от реализации работ и услуг~~~1 705,07~~1 705,07~~~
Ремонтно-механический завод ЗАО~~~~~~~~~~~~~~~~~~~~~731,96~~~
Ремонтно-механический завод ЗАО~Платежное поручение входящее 00000005023 от 14.05.2020 13:03:24~14.05.2020 00:00:00~~Павлоградські РЕМ~040000103 Перетоки ~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~150,19~311~Текущие счета в национальной валюте~901,14~~361~Расчеты с отечественными покупателями~~~~901,14~~~~
Ремонтно-механический завод ЗАО~Акт об оказании производственных услуг 00000005179 от 31.05.2020 12:18:35~31.05.2020 12:18:35~~Павлоградські РЕМ~040000103 Перетоки ~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~121,99~361~Расчеты с отечественными покупателями~~731,96~703~Доход от реализации работ и услуг~~~731,96~~731,96~~~
КДУУ(Центр развития ребенка) №2"Веселые звоночки" Вольногорского горсовета Днепропетровской обл.~~~~~~~~~~~~~~~~~~~~~79,46~~~
КДУУ(Центр развития ребенка) №2"Веселые звоночки" Вольногорского горсовета Днепропетровской обл.~Платежное поручение входящее 00000004972 от 14.05.2020 13:02:34~14.05.2020 00:00:00~~Вільногірські РЕМ~030000084 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~18,24~311~Текущие счета в национальной валюте~109,44~~361~Расчеты с отечественными покупателями~~~~109,44~~~~
КДУУ(Центр развития ребенка) №2"Веселые звоночки" Вольногорского горсовета Днепропетровской обл.~Акт об оказании производственных услуг 00000004690 от 31.05.2020 12:05:10~31.05.2020 12:05:10~~Вільногірські РЕМ~030000084 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~13,24~361~Расчеты с отечественными покупателями~~79,46~703~Доход от реализации работ и услуг~~~79,46~~79,46~~~
КДУУ(Ясли-сад) №4"Ромашка" Вольногорского горсовета Днепропетровской обл.~~~~~~~~~~~~~~~~~~~~~~~~
КДУУ(Ясли-сад) №4"Ромашка" Вольногорского горсовета Днепропетровской обл.~Платежное поручение входящее 00000005078 от 15.05.2020 15:12:30~15.05.2020 00:00:00~~Вільногірські РЕМ~030000094 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~28,05~311~Текущие счета в национальной валюте~168,3~~361~Расчеты с отечественными покупателями~~~~168,3~~~~
Отдел культуры исполнительного комитета Желтоводского горсовета~~~~~~~~~~~~~~~~~~~~~~~~
Отдел культуры исполнительного комитета Желтоводского горсовета~Платежное поручение входящее 00000005515 от 28.05.2020 14:01:56~28.05.2020 00:00:00~~Жовтоводські РЕМ~020000185Р перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~21,31~311~Текущие счета в национальной валюте~127,86~~361~Расчеты с отечественными покупателями~~~~127,86~~~~
ДЕРЖАВНИЙ ЕКСПОРТНО-ІМПОРТНИЙ БАНК УКРАЇНИ~~~~~~~~~~~~~~~~~~~~~762,79~~~
ДЕРЖАВНИЙ ЕКСПОРТНО-ІМПОРТНИЙ БАНК УКРАЇНИ~Платежное поручение входящее 00000005344 от 22.05.2020 14:03:18~22.05.2020 00:00:00~~Криворізькі РЕМ~050105003 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~148,08~311~Текущие счета в национальной валюте~888,49~~361~Расчеты с отечественными покупателями~~~~888,49~~~~
ДЕРЖАВНИЙ ЕКСПОРТНО-ІМПОРТНИЙ БАНК УКРАЇНИ~Акт об оказании производственных услуг 00000004962 от 31.05.2020 12:12:35~31.05.2020 12:12:35~~Криворізькі РЕМ~050105003 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~127,13~361~Расчеты с отечественными покупателями~~762,79~703~Доход от реализации работ и услуг~~~762,79~~762,79~~~
Парк Плюс~~~~~~~~~~~~~~~~~~~~~851,09~~~
Парк Плюс~Платежное поручение входящее 00000004693 от 07.05.2020 15:59:04~07.05.2020 00:00:00~~Криворізькі РЕМ~050070001 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~102,4~311~Текущие счета в национальной валюте~614,38~~361~Расчеты с отечественными покупателями~~~~614,38~~~~
Парк Плюс~Акт об оказании производственных услуг 00000004970 от 31.05.2020 12:12:52~31.05.2020 12:12:52~~Криворізькі РЕМ~050070001 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~141,85~361~Расчеты с отечественными покупателями~~851,09~703~Доход от реализации работ и услуг~~~851,09~~851,09~~~
Харитонов Б.Е.~~~~~~~~~~~~~~~~~~~~~277,87~~~
Харитонов Б.Е.~Платежное поручение входящее 00000004981 от 14.05.2020 13:02:42~14.05.2020 00:00:00~~Жовтоводські РЕМ~020000043 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~20,88~311~Текущие счета в национальной валюте~125,29~~361~Расчеты с отечественными покупателями~~~~125,29~~~~
Харитонов Б.Е.~Акт об оказании производственных услуг 00000004888 от 31.05.2020 12:10:38~31.05.2020 12:10:38~~Жовтоводські РЕМ~020000043 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~46,31~361~Расчеты с отечественными покупателями~~277,87~703~Доход от реализации работ и услуг~~~277,87~~277,87~~~
Рябенко О.П.~~~~~~~~~~~~~~~~~~~~~~~~
Рябенко О.П.~Платежное поручение входящее 00000005330 от 22.05.2020 14:03:01~22.05.2020 00:00:00~~Жовтоводські РЕМ~020000160 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~11,99~311~Текущие счета в национальной валюте~71,94~~361~Расчеты с отечественными покупателями~~~~71,94~~~~
Криворожский ВГСО                                ~~~~~~~~~~~~~~~~~~~~~360,41~~~
Криворожский ВГСО                                ~Платежное поручение входящее 00000004742 от 08.05.2020 21:21:06~08.05.2020 00:00:00~~Криворізькі РЕМ~050157302 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~76,14~311~Текущие счета в национальной валюте~456,86~~361~Расчеты с отечественными покупателями~~~~456,86~~~~
Криворожский ВГСО                                ~Акт об оказании производственных услуг 00000004952 от 31.05.2020 12:12:15~31.05.2020 12:12:15~~Криворізькі РЕМ~050157302 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~60,07~361~Расчеты с отечественными покупателями~~360,41~703~Доход от реализации работ и услуг~~~360,41~~360,41~~~
Управление службы безопасности Украины в Днепропетровской области~~~~~~~~~~~~~~~~~~~~~~~~
Управление службы безопасности Украины в Днепропетровской области~Платежное поручение входящее 00000004888 от 13.05.2020 15:31:07~13.05.2020 00:00:00~~Жовтоводські РЕМ~020000180 перетоки~За перетікання реактивної електроенергії у грудні 2019 р.~1~грн~20%~17,04~311~Текущие счета в национальной валюте~102,25~96,17~361~Расчеты с отечественными покупателями~~~~102,25~~~~
Управление службы безопасности Украины в Днепропетровской области~Платежное поручение входящее 00000005271 от 20.05.2020 16:33:53~20.05.2020 00:00:00~~Жовтоводські РЕМ~020000180 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~16,03~311~Текущие счета в национальной валюте~96,17~~361~Расчеты с отечественными покупателями~~~~96,17~~~~
Теребус Ольга Владимировна ФОП ~~~~~~~~~~~~~~~~~~~~~~~~
Теребус Ольга Владимировна ФОП ~Платежное поручение входящее 00000004655 от 07.05.2020 15:58:26~07.05.2020 00:00:00~~Вільногірські РЕМ~030000018 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~13,52~311~Текущие счета в национальной валюте~81,13~~361~Расчеты с отечественными покупателями~~~~81,13~~~~
Днепропластавтомат ООО~~~~~~~~~~~~~~~~~~~~~-419 825,33~~~
Днепропластавтомат ООО~Платежное поручение входящее 00000005366 от 22.05.2020 14:03:40~22.05.2020 00:00:00~~~л/с 10000350~Розподіл електричної енергії 2 клас ~500~МВт·год~20%~57 780~311~Текущие счета в национальной валюте~~~361~Расчеты с отечественными покупателями~359 964,79~693 360,01~~333 395,22~~~~
Днепропластавтомат ООО~Акт об оказании производственных услуг 00000005118 от 31.05.2020 12:16:26~31.05.2020 12:16:26~~ЦЕК~л/с 10000350~Розподіл електричної енергії 2 клас ~394,506~МВт·год~20%~45 589,113~361~Расчеты с отечественными покупателями~~~703~Доход от реализации работ и услуг~693 360,01~419 825,33~273 534,68~~-419 825,33~~~
Днепрмеханизация~~~~~~~~~~~~~~~~~~~~~244,66~~~
Днепрмеханизация~Платежное поручение входящее 00000005170 от 18.05.2020 15:43:12~18.05.2020 00:00:00~~Дніпропетровські РЕМ~010000772 перетоки ~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~41,98~311~Текущие счета в национальной валюте~251,89~~361~Расчеты с отечественными покупателями~~~~251,89~~~~
Днепрмеханизация~Акт об оказании производственных услуг 00000005012 от 31.05.2020 12:14:13~31.05.2020 12:14:13~~Дніпропетровські РЕМ~010000772 перетоки ~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~40,78~361~Расчеты с отечественными покупателями~~244,66~703~Доход от реализации работ и услуг~~~244,66~~244,66~~~
Райводоканал~~~~~~~~~~~~~~~~~~~~~-75 933,46~~~
Райводоканал~Платежное поручение входящее 00000004779 от 08.05.2020 21:21:42~08.05.2020 00:00:00~~Дільниця Гвардійська ПвРЕМ~070000081 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~1 561,48~311~Текущие счета в национальной валюте~8757,62~~361,00~Расчеты с отечественными покупателями~~611,24~~9368,86~~~~
Райводоканал~Акт об оказании производственных услуг 00000004900 от 31.05.2020 12:10:57~31.05.2020 12:10:57~~ЦЕК~070000081 розподил~Розподіл електричної енергії 2 клас ~133,167~МВт·год~20%~15 388,78~361~Расчеты с отечественными покупателями~~~703,00~Доход от реализации работ и услуг~174950,67~82618,00~92332,67~~-82618,00~~~
Райводоканал~Акт об оказании производственных услуг 00000005112 от 31.05.2020 12:16:20~31.05.2020 12:16:20~~Дільниця Гвардійська ПвРЕМ~070000081 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~1 215,96~361~Расчеты с отечественными покупателями~~6684,54~703,00~Доход от реализации работ и услуг~611,24~~7295,78~~6684,54~~~
Чаркін С.А. ФОП~~~~~~~~~~~~~~~~~~~~~129,12~~~
Чаркін С.А. ФОП~Платежное поручение входящее 00000004810 от 12.05.2020 15:13:00~12.05.2020 00:00:00~~Дільниця Апостолівська КрРЕМ~060020052 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~26,56~311~Текущие счета в национальной валюте~129,98~~361~Расчеты с отечественными покупателями~~29,38~~159,36~~~~
Чаркін С.А. ФОП~Акт об оказании производственных услуг 00000004773 от 31.05.2020 12:06:44~31.05.2020 12:06:44~~Дільниця Апостолівська КрРЕМ~060020052 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~26,42~361~Расчеты с отечественными покупателями~~129,12~703~Доход от реализации работ и услуг~29,38~~158,5~~129,12~~~
Укравтогаз ДП НАК Нафтогаз України~~~~~~~~~~~~~~~~~~~~~-12 388,46~~~
Укравтогаз ДП НАК Нафтогаз України~Платежное поручение входящее 00000005185 от 18.05.2020 15:43:27~18.05.2020 00:00:00~~Дніпропетровські РЕМ~010000419 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~255,76~311~Текущие счета в национальной валюте~1 534,55~~361~Расчеты с отечественными покупателями~~~~1 534,55~~~~
Укравтогаз ДП НАК Нафтогаз України~Акт об оказании производственных услуг 00000004919 от 31.05.2020 12:11:19~31.05.2020 12:11:19~~Дніпропетровські РЕМ~010000419 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~250,88~361~Расчеты с отечественными покупателями~~1 505,28~703~Доход от реализации работ и услуг~~~1 505,28~~1 505,28~~~
Укравтогаз ДП НАК Нафтогаз України~Акт об оказании производственных услуг 00000005122 от 31.05.2020 12:16:30~31.05.2020 12:16:30~~ЦЕК~010000419 розподил~Розподіл електричної енергії 2 клас ~5,747~МВт·год~20%~664,12~361~Расчеты с отечественными покупателями~~~703~Доход от реализации работ и услуг~17 878,48~13 893,74~3 984,74~~-13 893,74~~~
Эпицентр К ООО~~~~~~~~~~~~~~~~~~~~~-152 383,14~~~
Эпицентр К ООО~Платежное поручение входящее 00000004847 от 12.05.2020 15:13:40~12.05.2020 00:00:00~~Криворізькі РЕМ~050100005 перетоки ~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~102,17~311~Текущие счета в национальной валюте~613,04~~361~Расчеты с отечественными покупателями~~~~613,04~~~~
Эпицентр К ООО~Платежное поручение входящее 00000005422 от 25.05.2020 10:15:10~25.05.2020 00:00:00~~~050100005 розподил ~Розподіл електричної енергії 2 клас ~180~МВт·год~20%~20 800,8~311~Текущие счета в национальной валюте~~~361~Расчеты с отечественными покупателями~104 004~228 808,8~~124 804,8~~~~
Эпицентр К ООО~Акт об оказании производственных услуг 00000004932 от 31.05.2020 12:11:36~31.05.2020 12:11:36~~ЦЕК~050100005 розподил ~Розподіл електричної енергії 2 клас ~108,813~МВт·год~20%~12 574,43~361~Расчеты с отечественными покупателями~~~703~Доход от реализации работ и услуг~228 808,8~153 362,22~75 446,58~~-153 362,22~~~
Эпицентр К ООО~Акт об оказании производственных услуг 00000004959 от 31.05.2020 12:12:29~31.05.2020 12:12:29~~Криворізькі РЕМ~050100005 перетоки ~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~163,18~361~Расчеты с отечественными покупателями~~979,08~703~Доход от реализации работ и услуг~~~979,08~~979,08~~~
Исполнительный комитет Желтоводского горсовета~~~~~~~~~~~~~~~~~~~~~165,08~~~
Исполнительный комитет Желтоводского горсовета~Платежное поручение входящее 00000005087 от 15.05.2020 15:12:39~15.05.2020 00:00:00~~Жовтоводські РЕМ~020000203Р перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~34,54~311~Текущие счета в национальной валюте~207,25~~361~Расчеты с отечественными покупателями~~~~207,25~~~~
Исполнительный комитет Желтоводского горсовета~Акт об оказании производственных услуг 00000004854 от 31.05.2020 12:09:24~31.05.2020 12:09:24~~Жовтоводські РЕМ~020000203Р перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~27,51~361~Расчеты с отечественными покупателями~~165,08~703~Доход от реализации работ и услуг~~~165,08~~165,08~~~
ВІЗА-АГРО~~~~~~~~~~~~~~~~~~~~~~~~
ВІЗА-АГРО~Платежное поручение входящее 00000004809 от 12.05.2020 15:12:59~12.05.2020 00:00:00~~Жовтоводські РЕМ~020000165 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~24,63~311~Текущие счета в национальной валюте~147,79~~361~Расчеты с отечественными покупателями~~~~147,79~~~~
Шиш Л.Р.~~~~~~~~~~~~~~~~~~~~~74,93~~~
Шиш Л.Р.~Акт об оказании производственных услуг 00000004708 от 31.05.2020 12:05:36~31.05.2020 12:05:36~~Дніпропетровські РЕМ~010000633 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~12,86~361~Расчеты с отечественными покупателями~~74,93~703~Доход от реализации работ и услуг~2,21~~77,14~~74,93~~~
Вест Ойл Групп ООО~~~~~~~~~~~~~~~~~~~~~-7 998,3~~~
Вест Ойл Групп ООО~Платежное поручение входящее 00000004801 от 12.05.2020 15:12:51~12.05.2020 00:00:00~~Дніпропетровські РЕМ~010000627 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~18,91~311~Текущие счета в национальной валюте~113,46~16,08~361~Расчеты с отечественными покупателями~~~~97,38~~~~
Вест Ойл Групп ООО~Платежное поручение входящее 00000005198 от 18.05.2020 15:43:40~18.05.2020 00:00:00~~~010000627 розподил~Розподіл електричної енергії 2 клас ~9,5~МВт·год~20%~1 097,82~311~Текущие счета в национальной валюте~~~361~Расчеты с отечественными покупателями~7 983,35~13 173,84~~5 190,49~~~~
Вест Ойл Групп ООО~Акт об оказании производственных услуг 00000005033 от 31.05.2020 12:14:49~31.05.2020 12:14:49~~Дніпропетровські РЕМ~010000627 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~22,91~361~Расчеты с отечественными покупателями~16,08~153,53~703~Доход от реализации работ и услуг~~~137,45~~153,53~~~
Вест Ойл Групп ООО~Акт об оказании производственных услуг 00000005141 от 31.05.2020 12:16:45~31.05.2020 12:16:45~~ЦЕК~010000627 розподил~Розподіл електричної енергії 2 клас ~7,243~МВт·год~20%~837~361~Расчеты с отечественными покупателями~~~703~Доход от реализации работ и услуг~13 173,84~8 151,83~5 022,01~~-8 151,83~~~
Авангард СК КЗ~~~~~~~~~~~~~~~~~~~~~247,34~~~
Авангард СК КЗ~Платежное поручение входящее 00000005092 от 15.05.2020 15:12:44~15.05.2020 00:00:00~~Вільногірські РЕМ~030000089 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~53,09~311~Текущие счета в национальной валюте~318,54~~361~Расчеты с отечественными покупателями~~~~318,54~~~~
Авангард СК КЗ~Акт об оказании производственных услуг 00000004688 от 31.05.2020 12:05:06~31.05.2020 12:05:06~~Вільногірські РЕМ~030000089 перетоки~За перетікання реактивної електроенергії у травні 2020 р.~1~грн~20%~41,22~361~Расчеты с отечественными покупателями~~247,34~703~Доход от реализации работ и услуг~~~247,34~~247,34~~~
Территориальное управление государственной судебной администрации в Днепропетровской области~~~~~~~~~~~~~~~~~~~~~224,41~~~
Территориальное управление государственной судебной администрации в Днепропетровской области~Платежное поручение входящее 00000005291 от 20.05.2020 16:34:13~20.05.2020 00:00:00~~Жовтоводські РЕМ~020000164 перетоки~За перетікання реактивної електроенергії у квітніі 2020 р.~1~грн~20%~250,39~311~Текущие счета в национальной валюте~1 502,34~~361~Расчеты с отечественными покупателями~~~~1 502,34~~~~
