;;;;;;
Вартість 1 машино-години використання машин (механізмів) в роботах за іншими, крім ліцензованого, видів діяльності на 2018 рік;;;;;;
;;;;;; грн 
№;Найменування транспорту;Державний номер;Місце розташування;Вартість 1 машино-години (простой);Вартість 1 машино-години (проїзд); Вартість 1 машино-години (на роботу спецмеханізімів) 
;;;;;;
;;;;;;
 1    ; 2    ; 3    ; 4    ;;;
72;Трактор Т 150К БКУ;т 059-59АЕ;Кротова, 44; 106,59 ; 458,49    ; 458,49 
73;Трактор Т 150К БКУ;т 019-35 АЕ;КрРЕМ; 100,45 ; 452,35    ; 452,35 
74;Трактор Т-40АМ ;т 059-62 АЕ;ЖвРЕМ; 99,86 ; 214,81    ; 214,81 
75;Трактор ЭО-2621 ЮМЗ-6АКЛ ;т 059-65 АЕ;ІнРЕМ; 100,47 ; 252,96    ; 252,96 
76;Трактор  ЮМЗ-6АКЛ ;т 059-60 АЕ;Кротова, 44; 98,04 ; 215,34    ; 215,34 
77;Трактор  ЮМЗ-6АКЛ ;т 019-34АЕ;КрРЕМ; 97,46 ; 249,95    ; 249,95 
78;Трактор  ЮМЗ-6КЛ ЭО 2621;т 019-39АЕ;ВгРЕМ; 100,96 ; 253,45    ; 253,45 
79;Трактор  ЮМЗ-6КМ;т 059-61 АЕ;ВгРЕМ; 98,84 ; 216,14    ; 216,14 
80;Трактор  ЮМЗ-6 ЭО 2621;т 059-57 АЕ;Кротова, 44; 100,80 ; 253,29    ; 253,29 
81;УАЗ 2206;041-34АЕ;ПвРЕМ; 94,38 ; 295,18    ;
82;УАЗ 3303 МВА специальный ;АЕ 26-52АВ;Кротова, 44; 89,18 ; 301,13    ;
83;УАЗ 3303-01 ;АЕ 26-54АВ;КрРЕМ; 89,14 ; 301,09    ;
84;"УАЗ 3909 ""Фермер""";АЕ 24-86ВА;АпРЕМ; 92,43 ; 315,54    ;
85;Шкода-Oktavia;АЕ 30-02ВС;Кедріна, 28; 91,68 ; 239,28    ;
86;Шкода-Oktavia;АЕ 89-09ВО;Кедріна, 28; 95,77 ; 220,66    ;
87;"Екскаватор ""Борекс"" ";т 059-66 АЕ;ПвРЕМ; 100,73 ; 347,06    ; 347,06 
88;"Екскаватор ""Борекс-2101"" ";т 019-41 АЕ;Кротова, 44; 105,93 ; 352,26    ; 352,26 
89;Екскаватор ЭО-2102;т 019-40 АЕ;ЖвРЕМ; 103,19 ; 349,52    ; 349,52 
90;"Екскаватор ""Борекс-2101"" ";т 019-42 АЕ;Кротова, 44; 103,22 ; 349,55    ; 349,55 
91;ГАЗ 2705 ВП6;АЕ 30-74НЕ;ДнРЕМ; 113,17 ; 280,50    ;
92;ГАЗ 3309 автогідропідіймач  АП-18;АЕ 30-68НЕ;ІнРЕМ; 145,75 ; 356,89    ; 267,74 
93;ЗАЗ TF 69 YO;АЕ 73-16НІ;КрРЕМ; 103,23 ; 214,79    ;
94;Шкода-Oktavia;АЕ 55-97НС;Кедріна, 28; 111,22 ; 247,46    ;
95;ГАЗ 3309 автогідропідіймач  АП-18;АЕ 53-80НМ;ВгРЕМ; 149,18 ; 360,32    ; 271,17 
96;ЗАЗ TF 69 YO;АЕ 52-47 НЕ;ДнРЕМ; 101,05 ; 225,94    ;
97;ГАЗ-27057 ВП 6;АЕ 37-28 НМ;Кротова, 44; 115,52 ; 327,47    ;
98;ЗАЗ TF 69 YO;АЕ 99-60ЕО;Кедріна, 28; 108,95 ; 231,66    ;
99;ЗАЗ TF 69 YO;АЕ 53-39ЕМ;ПвРЕМ; 109,06 ; 231,77    ;
100;ЗАЗ TF 69 YO;АЕ 03-45НВ;Кедріна, 28; 108,81 ; 231,52    ;
101;Шкода Super B;АЕ 68-73ІА;Кедріна, 28; 100,30 ; 270,60    ;
