code;name;citycode;streettypecode;thedistrictcode;modify_time;citykoid;resid;xstreetcode
INTEGER;VARCHAR(50);INTEGER;INTEGER;INTEGER;DECIMAL(16.0);VARCHAR(10);VARCHAR(10);VARCHAR(50)
384;Комсомольська;4409;3;;;1223881504;;
385;Комсомольська;3901;3;;;1221881301;;
386;Комсомольська;3630;3;;;1210100000;;
387;Комісара Крилова;3630;3;;;1210100000;;
388;Конституційна;3638;3;;;1211000000;;
389;Кооперативна;3636;3;;;1210700000;;
390;Корейська;3630;3;;;1210100000;;
391;Короленка;3630;3;;;1210100000;;
392;Короленка;3636;3;;;1210700000;;
393;Корольова Сергія;3652;3;;;1212400000;;
394;Косигіна;3948;3;;;1221884701;;
395;Космонавтів;3901;3;;;1221881301;;
396;Костянтинівська;3630;3;;;1210100000;;
397;Котляревського;3638;3;;;1211000000;;
398;Котляревського;3939;3;;;1221884005;;
399;Котовського;3683;3;;;1220386604;;
400;Котіна;3652;3;;;1212400000;;
401;Коханівська;3630;3;;;1210100000;;
402;Коцюбинського;3636;6;;;1210700000;;
403;Коцюбинського;4553;6;;;1224583701;;
404;Кравченка;3652;3;;;1212400000;;
405;Крамського;3630;3;;;1210100000;;
406;Краснокутський;3636;6;;;1210700000;;
407;Краснопільська;3630;3;;;1210100000;;
408;Кременецька;2543;3;;;710100000;;
409;Криворізька;3630;3;;;1210100000;;
410;Криворізьке шосе;3863;3;;;1221482008;;
411;Криворізький;3630;6;;;1210100000;;
412;Криворізький;3630;10;;;1210100000;;
413;Кримська;3941;3;;;1221884301;;
414;Криничанська;3815;3;;;1221084104;;
415;Криничанська;3632;3;;;1210200000;;
416;Кронштадська;3630;3;;;1210100000;;
417;Кропивницького;3638;3;;;1211000000;;
418;Кропоткіна;3636;3;;;1210700000;;
419;Крупіна;3638;3;;;1211000000;;
420;Крутогорна;3630;3;;;1210100000;;
421;Кубанська;3630;3;;;1210100000;;
422;Купріна;3636;3;;;1210700000;;
423;Купріна;3636;6;;;1210700000;;
424;Курсантська;4276;3;;;1223255300;;
425;Курсантська;3630;3;;;1210100000;;
426;Курчатова;3630;3;;;1210100000;;
427;Кутузова;29758;3;;;8000000000;;
428;Кутузова;29758;6;;;8000000000;;
429;Кучерявого;4276;3;;;1223255300;;
430;Кіквідзе;29758;3;;;8000000000;;
431;Кільцева;3652;3;;;1212400000;;
432;Кірова;3630;9;;;1210100000;;
433;Кірова;3902;3;;;1221881303;;
434;Кіровоградське шосе;3901;3;;;1221881301;;
435;Кіровоградське шосе;3902;3;;;1221881303;;
436;Л. Гречко;4509;3;;;1224510100;;
437;Л. Українки;3948;3;;;1221884701;;
438;Л.Українки;3901;3;;;1221881301;;
439;Л.Українки;3948;3;;;1221884701;;
440;Л.Українки;3936;3;;;1221884001;;
441;Л.Українки;3939;3;;;1221884005;;
442;Лабораторна;3630;3;;;1210100000;;
443;Лазаряна;3630;3;;;1210100000;;
444;Ламана;3630;3;;;1210100000;;
445;Лебедєва Кумача;3630;3;;;1210100000;;
446;Леваневського;3648;3;;;1211900000;;
447;Леваневського;4367;3;;;1223755100;;
448;Леваневського;5144;3;;;1410300000;;
449;Леваневського;3630;3;;;1210100000;;
450;Левицького;3638;3;;;1211000000;;
451;Лейпцизька;29758;3;;;8000000000;;
