~-4~900~Жовтоводські РЕМ~Iншi~м. Жовті Води вул. Будівельників     1А~ПС "С-35"(2Т,3Т)~ЖРЕМ виробнича дільниця~~0~0~0~0158923~НІК 2301АК1~6329~электронный~Трехфазный~6~5~1,0~1~232315~350~Абонент~0,4~400/5~80~~~Абонент~631,77~~~~~~~~01.01.2017~01.03.2010~16~01.03.2026~0~~~~~~~~~Косенков Едуард Вікторович ~31~PC01B631
~29~20000023~ФОП Брагіна С.М.~Iншi~м. Жовті Води вул. Козацької Слави     29~ТП-109~магазин~~0~0~0~7279116~НІК 2102-02.М2В~10539~электронный~Однофазный~6~5~1~1~109049~4~Абонент~0,4~~~~~~6,32~~~~~~~~01.10.2015~01.09.2014~16~01.09.2030~0~~~~~~~~~Коваленко Артем Вікторович ~28~PC01B531
~30~20000024~Р ФОП Бородіна А.М.~Iншi~м. Жовті Води вул. Європейська     17~ТП-70~салон краси "Антураж"~~0~0~0~0633980~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~107420~12~Абонент~0,4~~~~~~21,66~~~~~~~~11.06.2015~01.06.2012~16~01.06.2028~0~~~~~~~~~Якушенко Олена Володимирівна ~31~PC01G731
~31~20000026~Р ПП "Нічний Експрес"~Iншi~м. Жовті Води вул. Кодацька      2~КТП-4~офіс~~0~0~0~0251163~НІК 2303 АП3~6720~электронный~Трехфазный~6~5~1,0~1~107346~34~Абонент~0,4~~~~~~61,37~~~~~~~~25.06.2015~01.03.2014~16~01.03.2030~0~~~~~~~~~Руденко Володимир Миколайович ~28~PC01B731
~32~20000027~Р ФОП Величко Д.В.~Iншi~м. Жовті Води вул. Кропоткіна    14В~ТП-122~магазин "Авалон"~~0~0~0~0373421~НІК 2301АП1~6370~электронный~Трехфазный~6~5~1,0~1~109033~20~Абонент~0,4~~~~~~36,10~~~~~~~~01.10.2015~01.03.2012~16~01.03.2028~0~~~~~~~~~Буданов Сергій Вікторович ~31~PC01A931
~33~20000027~Р ФОП Величко Д.В.~Iншi~м. Жовті Води вул. Кропоткіна     12~ТП-122~магазин "Таїс"~~0~0~0~0466943~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~109042~78~Абонент~0,4~~~~~~140,79~~~~~~~~01.10.2015~01.12.2010~16~01.12.2026~0~~~~~~~~~Буданов Сергій Вікторович ~31~PC01A931
~34~20000027~Р ФОП Величко Д.В.~Iншi~м. Жовті Води вул. Козацької Слави     1А~ТП-65~магазин "Сузір`я"~~0~0~0~0738819~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~109023~4~Абонент~0,4~~~~~~7,22~~~~~~~Установлен~01.10.2015~01.03.2013~16~01.03.2029~0~~~~~~~~~Косенков Едуард Вікторович ~31~PC01B631
~35~20000027~Р ФОП Величко Д.В.~Iншi~м. Жовті Води вул. Хмельницького      21/  5~ТП-37~магазин "Маяк"~~0~0~0~18921~Дельта 8010-08~6320~электронный~Трехфазный~6~10~1,0~1~109010~42~Абонент~0,4~~~~~~75,81~~~~~~~Установлен~01.10.2015~01.09.2006~16~01.09.2022~0~~~~~~~~~Пушкар Олександр Володимирович ~31~PC01A731
~36~20000029~Р ФОП Петріченко Ю.В.~Iншi~м. Жовті Води вул. Ціолковського     2А~ТП-59~майстерні~~0~0~0~0730089~НІК 2301АП1~6370~электронный~Трехфазный~6~5~1,0~1~108003~20~Абонент~0,4~~~~~~36,10~~~~~~~~01.07.2015~01.12.2013~16~01.12.2029~0~~~~~~~~~Похил Андрій Григорович ~31~PC01F931
~37~20000029~Р ФОП Петріченко Ю.В.~Iншi~м. Жовті Води вул. Ціолковського     2А~ТП-59~приміщення школи~~0~0~0~0730790~НІК 2301АП1~6370~электронный~Трехфазный~6~5~1,0~1~108008~80~Абонент~0,4~~~~~~143,54~~~~~~~~01.07.2015~01.06.2013~16~01.06.2029~0~~~~~~~~~Якушин Олег Анатолійович ~31~PC01G331
~38~20000030~Р ТОВ "АТОМІНВЕСТБУД"~Промисловiсть~м. Жовті Води вул. Гагаріна     40-35~ПС Електронна - ПС-5 1СШ-6кВ Л-ОЧ-31~завод Л-5-27-1~~0~0~0~01757102~EPQS 122.23.17 LL~6285~электронный~Трехфазный~6~5~0,5S~1~931303~125~Абонент~6,0~600/5~120~01.04.2018~~РЕС~9,03~66,43~НТМИ-6-66 6000/100~60~01.04.2018~~РЕС~~03.04.2018~01.12.2016~6~01.12.2022~0~~~~~~~~~Косенков Едуард Вікторович ~31~PC01B631
