~-4~900~Господарські потреби РЕМ~Iншi~смт Гвардійське вул. Сітьова     10~ЗТП-187~госп. потреби~Проверен~0~0~0~0072710~НІК 2303АРП3~6380~электронный~Трехфазный~6~5~1,0~1~108066~15~Абонент~0,4~~~~~~27,08~~~~~~~~01.04.2016~01.12.2010~16~01.12.2026~0~~~~~~~~~Старостенко Є.І~31~PC011131
~13~70000015~Р РЕЛІГІЙНА ГРОМАДА СВЯТОГО ІОАННА ВОЇНА~Iншi~смт Черкаське вул. Гагаріна     12~ЗТП-182~15,01 храм~Проверен~0~0~0~1232592~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106469~1~Абонент~0,2~~~~~~0,09~~~~~~~Установлен~13.07.2015~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~14~70000016~Р ГВАРДІЙСЬКА СЕЛИЩНА РАДА~Мiський бюджет~смт Гвардійське вул. Ювілейна     13~ЗТП-167~16,02 дитячий садок~Проверен~0~0~0~0201364~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~107571~30~Абонент~0,4~~~~~~54,69~~~~~~~~17.12.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~15~70000016~Р ГВАРДІЙСЬКА СЕЛИЩНА РАДА~Мiський бюджет~смт Гвардійське вул. Гагаріна     14~ЗТП-180~16,01 селищна рада~Проверен~0~0~0~0349437~НІК 2301АП1~6370~электронный~Трехфазный~6~5~1,0~1~107567~20~Абонент~0,2~~~~~~1,43~~~~~~~~17.12.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~16~70000016~Р ГВАРДІЙСЬКА СЕЛИЩНА РАДА~Мiський бюджет~смт Гвардійське вул. Гагаріна    11а~ЗТП-168~16,03 службове приміщення~Проверен~0~0~0~9215904~НІК 2102-02.М2В~10539~электронный~Однофазный~6~5~1~1~109929~5~Абонент~0,2~~~~~~0,36~~~~~~~~27.12.2019~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~17~70000017~Р ФОП Гончаренко А.О~Iншi~смт Гвардійське вул. Ювілейна     14~ЗТП-175~лісотехнічна база~Проверен~0~0~0~9036686~NIK2303 ARP3.1000.MC.11~6520~электронный~Трехфазный~6~5~1~1~106445~63~Абонент~0,4~~~~~~113,54~~~~~~~~23.06.2018~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~18~70000018~Р ФОП Степанова Т.І.~Iншi~смт Черкаське вул. Лісна    14а~ЗТП-188~18,01 магазин~Проверен~0~0~0~1409132~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~105993~6~Абонент~0,2~~~~~~0,45~~~~~~~Установлен~13.07.2015~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~19~70000022~Р ТОВ "Шері ЛТД"~Iншi~смт Гвардійське вул. Ювілейна      2~ЗТП-167~22,01 магазин "Дежурний"~Проверен~0~0~0~0252604~НІК 2303 АП3~6483~электронный~Трехфазный~6~5~1~1~106258~10~Абонент~0,4~~~~~~18,05~~~~~~~~17.06.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~20~70000023~Р ФОП Івченко Н.О.~Iншi~смт Черкаське вул. Лісна      5/ 63~ЗТП-178~23,01 магазин~Проверен~0~0~0~1416580~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106222~3~Абонент~0,2~~~~~~0,22~~~~~~~~23.06.2015~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~21~70000024~Р ГК "Самара"~Iншi~смт Гвардійське вул. Гагаріна     14~ЗТП-180~24,08 Самара-8~Проверен~0~0~0~0136244~НІК 2301АП1~6370~электронный~Трехфазный~6~5~1,0~1~106338~7~Абонент~0,4~~~~~~11,73~~~~~~~~15.09.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~22~70000024~Р ГК "Самара"~Iншi~смт Гвардійське вул. Гагаріна     14~ЗТП-180~24,01 Самара-1~Проверен~0~0~0~0248158~НІК 2301АП1~6370~электронный~Трехфазный~6~5~1,0~1~106293~3~Абонент~0,4~~~~~~5,42~~~~~~~Установлен~15.09.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~23~70000024~Р ГК "Самара"~Iншi~смт Гвардійське вул. Сітьова      2~ЗТП-168~24,07 Самара-7~Проверен~0~0~0~0578711~НІК 2301АП1~6370~электронный~Трехфазный~6~5~1,0~1~106332~2~Абонент~0,4~~~~~~3,79~~~~~~~Установлен~15.09.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~24~70000024~Р ГК "Самара"~Iншi~смт Гвардійське вул. Сітьова      2~ЗТП-168~24,03 Самара-3~Проверен~0~0~0~0677961~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106304~1~Абонент~0,2~~~~~~0,05~~~~~~~~15.09.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~25~70000024~Р ГК "Самара"~Iншi~смт Гвардійське вул. Гагаріна     14~ЗТП-168~24,06 Самара-6~Проверен~0~0~0~1176252~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106326~0~Абонент~0,2~~~~~~0,03~~~~~~~Установлен~15.09.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~26~70000024~Р ГК "Самара"~Iншi~смт Гвардійське вул. Сітьова      2~ЗТП-168~24,04 Самара-4~Проверен~0~0~0~1228349~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106311~1~Абонент~0,2~~~~~~0,05~~~~~~~Установлен~15.09.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~27~70000024~Р ГК "Самара"~Iншi~смт Гвардійське вул. Гагаріна     14~ЗТП-180~24,02 Самара-2~Проверен~0~0~0~1510313~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106298~3~Абонент~0,2~~~~~~0,24~~~~~~~Установлен~15.09.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~28~70000024~Р ГК "Самара"~Iншi~смт Гвардійське вул. Сітьова      2~ЗТП-168~24,05 Самара-5~Проверен~0~0~0~437113~СО-ЭА05 М1~6484~электронный~Однофазный~6~5~1~1~106319~3~Абонент~0,2~~~~~~0,24~~~~~~~~15.09.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~29~70000027~Р ГК " Лісний"~Iншi~смт Черкаське вул. Лісна~ЗТП-178~27,01 г/к" Лісний"~Проверен~0~0~0~25297~Дельта 8010-08~6320~электронный~Трехфазный~6~10~1,0~1~106080~130~Абонент~0,4~~~~~~234,66~~~~~~~~31.12.2018~22.05.2015~16~22.05.2031~0~~~~~~~~~Орел А.Л.~31~PC011331
~30~70000028~Р РГ ПРЕПОДОБНОГО СЕРАФИМА САРОВСЬКОГО~Iншi~смт Гвардійське вул. Буркіна      4~КТП-189~28,01храм~Проверен~0~0~0~6142090~НІК 2102-02.М2В~10539~электронный~Однофазный~6~5~1~1~106228~3~Абонент~0,2~~~~~~0,23~~~~~~~Установлен~04.10.2017~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~31~70000029~Р ФОП Манвелян А.А.~Iншi~смт Гвардійське вул. Гагаріна    15а~ЗТП-168~29,01 кафе~Проверен~0~0~0~7670705~НІК 2301АП1~6370~электронный~Трехфазный~6~5~1,0~1~106022~5~Абонент~0,4~~~~~~9,03~~~~~~~Установлен~28.10.2015~15.05.2015~16~15.05.2031~0~~~~~~~~~Старостенко Є.І~31~PC011131
~32~70000030~Р ПРИВАТНА ВТ ФІРМА "СЕВЕРСК"~Iншi~с. Вільне вул.~КТП-176~30,01 СТО~Проверен~0~0~0~0230536~НІК 2301АП1~6370~электронный~Трехфазный~6~5~1,0~1~106872~31~Абонент~0,4~~~~~~55,92~~~~~~~Установлен~12.10.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~33~70000031~Р ФОП Цимбал Н.І.~Iншi~смт Черкаське вул. Лісна      2~ЗТП-173~31,01 магазин~Проверен~0~0~0~0399773~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~106002~20~Абонент~0,4~~~~~~36,10~~~~~~~~14.07.2015~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~34~70000032~Р ФОП Цимбал Г.Г.~Iншi~смт Черкаське вул. Лісна     3а~ЗТП-173~32,01 магазин~Проверен~0~0~0~145639~СОЕ-5028НВ~6485~электронный~Однофазный~6~5~2~1~106050~2~Абонент~0,2~~~~~~0,16~~~~~~~~06.02.2015~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~35~70000033~Р ОКГТ "Господарник"~Iншi~смт Гвардійське вул. Курсантська     13~ЗТП-190~33,04 Господарник-4~Проверен~0~0~0~00073135~ЛЕО Модернизир.~10489~электронный~Однофазный~5~5~1~~106127~5~Абонент~0,2~~~~~~0,36~~~~~~~~13.07.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~36~70000033~Р ОКГТ "Господарник"~Iншi~смт Гвардійське вул. Курсантська     13~ЗТП-168~33,01 Господарник-1~Проверен~0~0~0~0048071~НІК 2301АП1~6370~электронный~Трехфазный~6~5~1,0~1~106108~6~Абонент~0,4~~~~~~10,83~~~~~~~~13.07.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~37~70000033~Р ОКГТ "Господарник"~Iншi~смт Гвардійське вул. Курсантська     13~ЗТП-190~33,05 Господарник-5~Проверен~0~0~0~02184272~СОЕ-5028 МНВ~6481~электронный~Однофазный~6~5~1~1~106134~5~Абонент~0,2~~~~~~0,36~~~~~~~Установлен~13.07.2015~~6~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~38~70000033~Р ОКГТ "Господарник"~Iншi~смт Гвардійське вул. Курсантська     13~ЗТП-168~33,06 Господарник-6~Проверен~0~0~0~0376265~НІК 2301АП1~6370~электронный~Трехфазный~6~5~1,0~1~106142~16~Абонент~0,4~~~~~~28,88~~~~~~~~13.07.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~39~70000033~Р ОКГТ "Господарник"~Iншi~смт Гвардійське вул. Курсантська     13~ЗТП-168~33,02 Господарник-2~Проверен~0~0~0~156075~ЛЕ 1101~7093~электронный~Однофазный~6~10~1~1~106115~5~Абонент~0,2~~~~~~0,36~~~~~~~Установлен~13.07.2015~~6~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~40~70000033~Р ОКГТ "Господарник"~Iншi~смт Гвардійське вул. Курсантська     13~ЗТП-190~33,03 Господарник-3~Проверен~0~0~0~4354675~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106122~5~Абонент~0,2~~~~~~0,36~~~~~~~Установлен~13.07.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~41~70000036~Р ФОП Суварян А.В.~Iншi~смт Гвардійське вул. Ювілейна     2а~ЗТП-190~36,02 кафе~Проверен~0~0~0~1650388~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106184~3~Абонент~0,2~~~~~~0,20~~~~~~~~01.11.2016~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~42~70000036~Р ФОП Суварян А.В.~Iншi~смт Гвардійське вул. Ювілейна     2а~ЗТП-190~36,01 кафе~Проверен~0~0~0~8117890~НІК2301 АП3В~6476~электронный~Трехфазный~6~5~~1~106178~9~Абонент~0,4~~~~~~15,88~~~~~~~Установлен~27.07.2015~01.10.2016~16~01.10.2032~0~~~~~~~~~Старостенко Є.І~31~PC011131
~43~70000039~Р ФОП Шмунь Л.М.~Iншi~смт Черкаське вул. Лісна~ЗТП-182~39,02 кіоск~Проверен~0~0~0~0958523~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106016~3~Абонент~0,2~~~~~~0,22~~~~~~~Установлен~10.06.2015~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~44~70000039~Р ФОП Шмунь Л.М.~Iншi~смт Черкаське вул. Лісна      5/ 63~ЗТП-178~39,01 магазин~Проверен~0~0~0~203595~СО-ЭА05 М1~6484~электронный~Однофазный~6~5~1~1~106011~5~Абонент~0,2~~~~~~0,34~~~~~~~~10.06.2015~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~45~70000041~Р ФОП Пискун В.І.~Iншi~смт Черкаське вул. Лісна~ЗТП-173~41,01 магазин Світанок~Проверен~0~0~0~10620654~NIK 2303 AP3.1000.MC.11~6540~электронный~Трехфазный~6~5~1~1~106025~10~Абонент~0,4~~~~~~18,05~~~~~~~~04.01.2019~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~46~70000041~Р ФОП Пискун В.І.~Iншi~смт Черкаське вул. Лісна    14а~ЗТП-188~41,02 магазин Смак~Проверен~0~0~0~8256150~НІК 2102-02.М2В~10539~электронный~Однофазный~6~5~1~1~106030~10~Абонент~0,2~~~~~~0,72~~~~~~~~21.12.2018~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~47~70000042~Р КОНЦЕРН "ВІЙСЬКТОРГСЕРВІС"~Iншi~смт Гвардійське вул. Гагаріна     13~ЗТП-180~42,05 кафе-бар №1~Проверен~0~0~0~0328904~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~107145~7~Абонент~0,4~~~~~~12,18~~~~~~~~30.12.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~48~70000042~Р КОНЦЕРН "ВІЙСЬКТОРГСЕРВІС"~Iншi~смт Гвардійське вул. Гагаріна     13~ЗТП-168~42,04 гараж~Проверен~0~0~0~0328923~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~107141~31~Абонент~0,4~~~~~~55,23~~~~~~~~30.12.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~49~70000042~Р КОНЦЕРН "ВІЙСЬКТОРГСЕРВІС"~Iншi~смт Черкаське вул. Лісна~ЗТП-188~42,01 бар №2~Проверен~0~0~0~0328995~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~107127~28~Абонент~0,4~~~~~~50,54~~~~~~~~30.12.2015~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~50~70000042~Р КОНЦЕРН "ВІЙСЬКТОРГСЕРВІС"~Iншi~смт Черкаське вул. Лісна~ЗТП-172~42,02 магазин №5~Проверен~0~0~0~0757352~НІК 2301АП1~6370~электронный~Трехфазный~6~5~1,0~1~107131~50~Абонент~0,4~~~~~~90,02~~~~~~~Установлен~30.12.2015~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~51~70000042~Р КОНЦЕРН "ВІЙСЬКТОРГСЕРВІС"~Iншi~смт Черкаське вул. Лісна~ЗТП-178~42,03 магазин №4~Проверен~0~0~0~8229992~НІК 2301АП1~6370~электронный~Трехфазный~6~5~1,0~1~107136~29~Абонент~0,4~~~~~~52,22~~~~~~~Установлен~30.12.2015~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~52~70000043~Р АТ "ДНІПРОПЕТРОВСЬКГАЗ"~Iншi~смт Губиниха вул. Нова~МТП-318~43,03 катодна станція~Проверен~0~0~0~0554606~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106931~1~Абонент~0,2~~~~~~0,09~~~~~~~~28.10.2015~~16~~0~~~~~~~~~Синельник П.В.~31~PC011231
~53~70000043~Р АТ "ДНІПРОПЕТРОВСЬКГАЗ"~Iншi~смт Губиниха вул. Берегового     13~ЗТП-1~43,02 катодна станція~Проверен~0~0~0~0791153~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106926~1~Абонент~0,4~~~~~~2,17~~~~~~~~28.10.2015~~16~~0~~~~~~~~~Синельник П.В.~31~PC011231
~54~70000043~Р АТ "ДНІПРОПЕТРОВСЬКГАЗ"~Iншi~м. Новомосковськ   Заводська~КТП-574~43,04 катодна станція~Проверен~0~0~0~3107916~НІК 2101-02 М1~6487~электронный~Однофазный~6~5~1~1~107122~1~Абонент~0,2~~~~~~0,04~~~~~~~~28.10.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~55~70000043~Р АТ "ДНІПРОПЕТРОВСЬКГАЗ"~Iншi~смт Гвардійське вул. Танкова     23~ЗТП-180~43,01 дільниця №1~Проверен~0~0~0~436307~СО-ЭА05 М1~6484~электронный~Однофазный~6~5~1~1~106921~2~Абонент~0,2~~~~~~0,11~~~~~~~~28.10.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~56~70000044~Р ПАТ"УКРТЕЛЕКОМ" точка ринка~Iншi~смт Гвардійське вул. Сітьова      1~ЗТП-190~44,01 АТС~Проверен~0~0~0~0719034~НІК 2301АП2~6371~электронный~Трехфазный~6~5~1,0~1~107118~4~Абонент~0,4~~~~~~6,32~~~~~~~Установлен~24.12.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~57~70000045~Р ТОВ МК "ІРІС"~Iншi~смт Черкаське вул. Лісна      9~ЗТП-188~45,01 аптека~Проверен~0~0~0~7747936~НІК 2102-02.М2В~10539~электронный~Однофазный~6~5~1~1~105967~5~Абонент~0,2~~~~~~0,36~~~~~~~Установлен~17.06.2016~01.05.2016~16~01.05.2032~0~~~~~~~~~Орел А.Л.~31~PC011331
~58~70000046~Р ФОП Лисогора В.Г. суб~Iншi~смт Черкаське вул. Лісна~ЗТП-172~46,01 торговий павільон~Проверен~0~0~0~2389435~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106343~3~Абонент~0,2~~~~~~0,22~~~~~~~Установлен~17.09.2015~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~59~70000047~Р ФОП Жубангалієва З.В.~Iншi~смт Черкаське вул. Лісна     1а~ЗТП-173~47,01 магазин~Проверен~0~0~0~28006336~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106035~3~Абонент~0,2~~~~~~0,20~~~~~~~~15.05.2015~15.05.2015~16~15.05.2031~0~~~~~~~~~Орел А.Л.~31~PC011331
~60~70000048~ДП "НОВОМОСКОВСЬКИЙ ВІЙСЬКОВИЙ ЛІСГОСП"~Iншi~с. Вільне вул.~КТПН-181~48,01лісгосп~Проверен~0~0~0~0201660~НІК 2303 АРК1 1100~6488~электронный~Трехфазный~6~5~1~4~107102~121~Абонент~0,4~200/5~40~~~Абонент~217,51~~~~~~~~15.12.2015~~16~~0~~~~~~~~~Старостенко Є.І~31~PC011131
~61~70000055~Р ФОП Полежаєв М.М.~Iншi~смт Черкаське вул. Лісна~ЗТП-159~55,01 майстерня~Проверен~0~0~0~0306118~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~105989~15~Абонент~0,4~~~~~~27,08~~~~~~~~26.06.2015~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~62~70000057~Р АТ"Державний ощадний банк України"~Iншi~смт Черкаське вул. Лісна      4~ЗТП-173~57,01 ощадбанк~Проверен~0~0~0~1173386~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~107150~1~Абонент~0,2~~~~~~0,07~~~~~~~Установлен~17.12.2015~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~63~70000058~Р ВІДДІЛ ОСВІТИ~Районний бюджет~смт Губиниха~ЗТП-2~58,08 котельня~Проверен~0~0~0~0005911~НІК 2303АРП1~6378~электронный~Трехфазный~6~5~1,0~1~107748~12~Абонент~0,4~~~~~~20,76~~~~~~~~01.04.2016~~16~~0~~~~~~~~~Синельник П.В.~31~PC011231
~64~70000058~Р ВІДДІЛ ОСВІТИ~Районний бюджет~смт Черкаське вул. Лісна~ЗТП-188~58,06 їдальня Черкаське~Проверен~0~0~0~0101423~НІК 2301АК1~6329~электронный~Трехфазный~6~5~1,0~1~107729~29~Абонент~0,4~300/5~60~~~Абонент~52,35~5,73~~~~~~Установлен~01.04.2016~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~65~70000058~Р ВІДДІЛ ОСВІТИ~Районний бюджет~смт Черкаське вул. Лісна~ЗТП-178~58,02 Черкаська школа~Проверен~0~0~0~0101444~НІК 2301АК1~6329~электронный~Трехфазный~6~5~1,0~1~107704~12~Абонент~0,4~200/5~40~~~Абонент~22,38~8,94~~~~~~Установлен~01.04.2016~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~66~70000058~Р ВІДДІЛ ОСВІТИ~Районний бюджет~смт Черкаське вул. Лісна~ЗТП-178~58,03 Черкаська школа~Проверен~0~0~0~0134539~НІК 2301АК1~6329~электронный~Трехфазный~6~5~1,0~1~107711~13~Абонент~0,4~200/5~40~~~Абонент~22,56~8,86~~~~~~Установлен~01.04.2016~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
~67~70000058~Р ВІДДІЛ ОСВІТИ~Районний бюджет~смт Черкаське вул. Лісна~ЗТП-188~58,05 їдальня Черкаське~Проверен~0~0~0~0134548~НІК 2301АК1~6329~электронный~Трехфазный~6~5~1,0~1~107723~29~Абонент~0,4~300/5~60~~~Абонент~52,35~5,73~~~~~~Установлен~01.04.2016~~16~~0~~~~~~~~~Орел А.Л.~31~PC011331
